post_id,platform,date,author,text,url,category,source_file,date_parsed,text_original,text_no_url,text_no_emoji,text_no_punct,text_no_num,text_clean
P001,instagram,2026-03-01,@nutriaccount,Small daily habits can improve health outcomes over time.,https://example.com/p1,health_focused,example_posts.csv,2026-03-01T00:00:00Z,Small daily habits can improve health outcomes over time.,Small daily habits can improve health outcomes over time.,Small daily habits can improve health outcomes over time.,Small daily habits can improve health outcomes over time ,Small daily habits can improve health outcomes over time ,small daily habits can improve health outcomes over time
P002,tiktok,2026-03-02,@coachfit,"No excuses: if your body is larger, you are just not disciplined.",https://example.com/p2,weight_loss,example_posts.csv,2026-03-02T00:00:00Z,"No excuses: if your body is larger, you are just not disciplined.","No excuses: if your body is larger, you are just not disciplined.","No excuses: if your body is larger, you are just not disciplined.",No excuses  if your body is larger  you are just not disciplined ,No excuses  if your body is larger  you are just not disciplined ,no excuses if your body is larger you are just not disciplined
P003,instagram,2026-03-03,@dietitian_a,"Balanced meals can support energy, mood, and recovery.",https://example.com/p3,health_focused,example_posts.csv,2026-03-03T00:00:00Z,"Balanced meals can support energy, mood, and recovery.","Balanced meals can support energy, mood, and recovery.","Balanced meals can support energy, mood, and recovery.",Balanced meals can support energy  mood  and recovery ,Balanced meals can support energy  mood  and recovery ,balanced meals can support energy mood and recovery
P004,x,2026-03-04,@fatlossdaily,Cheat foods are bad and make people weak.,https://example.com/p4,weight_loss,example_posts.csv,2026-03-04T00:00:00Z,Cheat foods are bad and make people weak.,Cheat foods are bad and make people weak.,Cheat foods are bad and make people weak.,Cheat foods are bad and make people weak ,Cheat foods are bad and make people weak ,cheat foods are bad and make people weak
P005,tiktok,2026-03-05,@wellbeinghub,Healthcare should be respectful and person-centred.,https://example.com/p5,health_focused,example_posts.csv,2026-03-05T00:00:00Z,Healthcare should be respectful and person-centred.,Healthcare should be respectful and person-centred.,Healthcare should be respectful and person-centred.,Healthcare should be respectful and person centred ,Healthcare should be respectful and person centred ,healthcare should be respectful and person centred
P006,instagram,2026-03-06,@shredzone,"Beach bodies are for people who work hard, not lazy people.",https://example.com/p6,weight_loss,example_posts.csv,2026-03-06T00:00:00Z,"Beach bodies are for people who work hard, not lazy people.","Beach bodies are for people who work hard, not lazy people.","Beach bodies are for people who work hard, not lazy people.",Beach bodies are for people who work hard  not lazy people ,Beach bodies are for people who work hard  not lazy people ,beach bodies are for people who work hard not lazy people
P007,x,2026-03-07,@publichealth,Community food access matters for nutrition outcomes.,https://example.com/p7,health_focused,example_posts.csv,2026-03-07T00:00:00Z,Community food access matters for nutrition outcomes.,Community food access matters for nutrition outcomes.,Community food access matters for nutrition outcomes.,Community food access matters for nutrition outcomes ,Community food access matters for nutrition outcomes ,community food access matters for nutrition outcomes
P008,tiktok,2026-03-08,@trenddiet,People with bigger bodies simply don't care about health.,https://example.com/p8,weight_loss,example_posts.csv,2026-03-08T00:00:00Z,People with bigger bodies simply don't care about health.,People with bigger bodies simply don't care about health.,People with bigger bodies simply don't care about health.,People with bigger bodies simply don t care about health ,People with bigger bodies simply don t care about health ,people with bigger bodies simply don t care about health
P009,instagram,2026-03-09,@sportsrd,"Protein, sleep, and hydration all contribute to performance.",https://example.com/p9,health_focused,example_posts.csv,2026-03-09T00:00:00Z,"Protein, sleep, and hydration all contribute to performance.","Protein, sleep, and hydration all contribute to performance.","Protein, sleep, and hydration all contribute to performance.",Protein  sleep  and hydration all contribute to performance ,Protein  sleep  and hydration all contribute to performance ,protein sleep and hydration all contribute to performance
P010,x,2026-03-10,@quickfixplan,"Weight gain is a personal failure, stop making excuses.",https://example.com/p10,weight_loss,example_posts.csv,2026-03-10T00:00:00Z,"Weight gain is a personal failure, stop making excuses.","Weight gain is a personal failure, stop making excuses.","Weight gain is a personal failure, stop making excuses.",Weight gain is a personal failure  stop making excuses ,Weight gain is a personal failure  stop making excuses ,weight gain is a personal failure stop making excuses
